,phi,phi_u,u,v
0,40.309198619447265,44.471973924948955,37.0,60.0
1,40.910636239307294,44.13144202694331,37.0,60.0
2,41.770361583765,43.656108243071195,37.0,60.0
3,42.84280214955141,43.08152501424257,37.0,60.0
4,44.07725305942359,42.444519828404744,37.0,60.0
5,45.42375645252817,41.77828730936385,37.0,60.0
6,46.83728831579779,41.109628635629335,37.0,60.0
7,48.27999437934247,40.45818806440176,37.0,60.0
8,49.72180194202438,39.837032109574174,37.0,60.0
9,51.13996144193148,39.25387278881446,37.0,60.0
10,52.51803792169549,38.712427973562505,37.0,60.0
11,53.8447269465532,38.213640832182726,37.0,60.0
12,55.11271608637872,37.75665227602984,37.0,60.0
13,56.31769660918915,37.33951948527014,37.0,60.0
14,57.45755706983066,36.95971780518769,37.0,60.0
15,58.53175164430553,36.61447527792491,37.0,60.0
16,59.54081926192566,36.300985713276035,37.0,60.0
17,60.48602515497946,36.01653741870302,37.0,60.0
18,61.369098043028416,35.75858536186385,37.0,60.0
19,62.192040142298296,35.52478655216521,37.0,60.0
20,62.95699165290161,35.31301226692146,37.0,60.0
21,63.6661354746153,35.1213462657755,37.0,60.0
22,64.32163133343622,34.94807499636179,37.0,60.0
23,64.92557123054321,34.791673649627036,37.0,60.0
24,65.47995022918174,34.65079048693465,37.0,60.0
25,65.98664818443095,34.52423091439191,37.0,60.0
26,66.44741920586193,34.410942165063126,37.0,60.0
27,66.8638865189404,34.30999905675465,37.0,60.0
28,67.23754103460799,34.2205910465972,37.0,60.0
29,67.56974240760161,34.14201065298619,37.0,60.0
30,67.86172170812584,34.07364322675775,37.0,60.0
31,68.1145850824029,34.01495800442329,37.0,60.0
32,68.32931796050211,33.965500352185224,37.0,60.0
33,68.506789503181,33.9248851007485,37.0,60.0
34,68.64775707682229,33.8927908714381,37.0,60.0
35,68.75287061688002,33.86895529986441,37.0,60.0
36,68.8226767928731,33.85317107182628,37.0,60.0
37,68.85762292729366,33.84528269572533,37.0,60.0
38,68.85806065086275,33.84518394550191,37.0,60.0
39,68.82424930041884,33.852815917386735,37.0,60.0
40,68.75635908572923,33.86816565220669,37.0,60.0
41,68.65447406956939,33.89126528232146,37.0,60.0
42,68.51859502311986,33.922191668276625,37.0,60.0
43,68.34864223752186,33.96106649469894,37.0,60.0
44,68.14445839369328,34.00805679752814,37.0,60.0
45,67.90581161766076,34.06337589495622,37.0,60.0
46,67.63239887926612,34.127284691841915,37.0,60.0
47,67.32384992992709,34.200093321055796,37.0,60.0
48,66.97973202224243,34.28216307404222,37.0,60.0
49,66.59955571308895,34.37390855527791,37.0,60.0
50,66.18278212538686,34.47579996911401,37.0,60.0
51,65.72883213537881,34.588365409812056,37.0,60.0
52,65.23709806613051,34.712192972557474,37.0,60.0
53,64.70695860864997,34.84793242974864,37.0,60.0
54,64.13779786462547,34.996296116256595,37.0,60.0
55,63.52902961454583,35.15805853108755,37.0,60.0
56,62.88012816665348,35.33405398024525,37.0,60.0
57,62.19066743893028,35.52517134356667,37.0,60.0
58,61.46037026763475,35.73234473183363,37.0,60.0
59,60.68917031439329,35.956538393492195,37.0,60.0
60,59.877289339946394,36.198723718334364,37.0,60.0
61,59.02533298665744,36.45984556070296,37.0,60.0
62,58.13440849211758,36.74077437554703,37.0,60.0
63,57.206267822328655,37.04223986784196,37.0,60.0
64,56.24347937418284,37.36474109911643,37.0,60.0
65,55.249630365839565,37.708427471941064,37.0,60.0
66,54.229559900679355,38.072945074374374,37.0,60.0
67,53.189618911789644,38.457244077847236,37.0,60.0
68,52.137947115802525,38.85934608051153,37.0,60.0
69,51.084748069699835,39.276076577700294,37.0,60.0
70,50.04253102036152,39.70277834047551,37.0,60.0
71,49.02627276717909,40.13303727923904,37.0,60.0
72,48.05343596753678,40.55847301500198,37.0,60.0
73,47.14376628239583,40.968668884102414,37.0,60.0
74,46.31878657307219,41.35133323927457,37.0,60.0
75,45.600921752676136,41.69278355332062,37.0,60.0
76,45.01223266245064,41.9788121608904,37.0,60.0
77,44.57281571888895,42.19591705888793,37.0,60.0
78,44.299028056821825,42.33276846506048,37.0,60.0
79,44.20179782979377,42.381662943702054,37.0,60.0
80,44.28533378955715,42.33964557950608,37.0,60.0
81,44.546517642756136,42.20900909912091,37.0,60.0
82,44.97513589946774,41.99702087821937,37.0,60.0
83,45.55491879402302,41.71493815553802,37.0,60.0
